Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,Clean sheets,goals_conceded,Saves per 90 mins weighted by mins_played per _Season - Club - Competition,Média de saves,Average of Save % (overall) weighted by Total attempts faced per _Season - Club - Competition,Average of Save % (attempts outside the box) weighted by Total attempts faced (obox) per _Season - Club - Competition,Average of Save % (attempts in the box) weighted by Total attempts faced (ibox) per _Season - Club - Competition,Penalty save % weighted by penalty_faced per _Season - Club - Competition,penalty_save,penalty_faced
Jan Oblak,2016/2017 - Atlético de Madrid,Spanish La Liga,€,84,Atlético de Madrid,Slovenia,"28,11",GK,30,2650,15,21,"2,1",63,"75,0%","77,8%","73,7%",25%,1,4
Jan Oblak,2016/2017 - Atlético de Madrid,UEFA Champions League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,11,990,6,7,"3,4",37,"84,1%","92,3%","80,6%",100%,1,1
Jan Oblak,2017/2018 - Atlético de Madrid,Spanish La Liga,€,84,Atlético de Madrid,Slovenia,"28,11",GK,37,3330,22,22,"2,9",109,"83,2%","96,2%","73,0%",75%,3,4
Jan Oblak,2017/2018 - Atlético de Madrid,UEFA Champions League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,6,540,3,4,"2,3",14,"77,8%","100,0%","63,6%",,,
Jan Oblak,2017/2018 - Atlético de Madrid,UEFA Europa League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,6,540,4,2,"3,7",22,"91,7%","100,0%","83,3%",,,
Jan Oblak,2018/2019 - Atlético de Madrid,Spanish La Liga,€,84,Atlético de Madrid,Slovenia,"28,11",GK,37,3330,20,27,"2,8",105,"79,5%","97,4%","72,0%",,,5
Jan Oblak,2018/2019 - Atlético de Madrid,UEFA Champions League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,8,720,4,9,"1,3",10,"52,6%","75,0%","36,4%",,,2
Jan Oblak,2019/2020 - Atlético de Madrid,Spanish La Liga,€,84,Atlético de Madrid,Slovenia,"28,11",GK,38,3396,17,27,"2,4",89,"76,7%","86,3%","68,3%",,,4
Jan Oblak,2019/2020 - Atlético de Madrid,UEFA Champions League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,9,840,4,9,"2,5",23,"71,9%","81,8%","65,0%",,0,0
Jan Oblak,2020/2021 - Atlético de Madrid,Spanish La Liga,€,84,Atlético de Madrid,Slovenia,"28,11",GK,10,900,8,2,"3,4",34,"94,4%","100,0%","90,5%",,0,0
Jan Oblak,2020/2021 - Atlético de Madrid,UEFA Champions League,€,84,Atlético de Madrid,Slovenia,"28,11",GK,6,540,2,8,"1,2",7,"46,7%","75,0%","36,4%",0%,0,2
Alisson,2016/2017 - Internacional,Brazilian Serie A,€,77.5,Liverpool FC,Brazil,"28,37",GK,1,90,1,,"1,0",1,"100,0%","100,0%",,,,
Alisson,2016/2017 - Roma,Italian Serie A,€,77.5,Liverpool FC,Brazil,"28,37",GK,0,,,,,,,,,,,
Alisson,2016/2017 - Roma,UEFA Europa League,€,77.5,Liverpool FC,Brazil,"28,37",GK,10,900,3,13,"4,2",42,"76,4%","92,6%","60,7%",,,
Alisson,2017/2018 - Roma,Italian Serie A,€,77.5,Liverpool FC,Brazil,"28,37",GK,37,3330,17,28,"2,9",109,"79,6%","93,0%","72,8%",40%,2,5
Alisson,2017/2018 - Roma,UEFA Champions League,€,77.5,Liverpool FC,Brazil,"28,37",GK,12,1080,5,19,"3,8",46,"70,8%","84,2%","65,2%",,,
Alisson,2018/2019 - Liverpool,English Premier League,€,77.5,Liverpool FC,Brazil,"28,37",GK,38,3420,21,22,"2,0",76,"77,6%","96,0%","70,4%",,,1
Alisson,2018/2019 - Liverpool,UEFA Champions League,€,77.5,Liverpool FC,Brazil,"28,37",GK,13,1170,6,12,"3,5",46,"79,3%","90,0%","73,0%",,,
Alisson,2019/2020 - Liverpool,English Premier League,€,77.5,Liverpool FC,Brazil,"28,37",GK,29,2545,13,23,"2,1",58,"71,6%","100,0%","58,2%",,,1
Alisson,2019/2020 - Liverpool,UEFA Champions League,€,77.5,Liverpool FC,Brazil,"28,37",GK,5,450,1,4,"2,6",13,"76,5%","100,0%","69,2%",,0,0
Alisson,2020/2021 - Liverpool,English Premier League,€,77.5,Liverpool FC,Brazil,"28,37",GK,8,720,2,8,"1,9",15,"65,2%","100,0%","61,9%",20%,1,5
Alisson,2020/2021 - Liverpool,UEFA Champions League,€,77.5,Liverpool FC,Brazil,"28,37",GK,3,270,2,2,"3,0",9,"81,8%","100,0%","75,0%",,0,0
Thibaut Courtois,2016/2017 - Chelsea,English Premier League,€,76.7,Real Madrid CF,Belgium,"28,76",GK,36,3240,16,28,"1,9",68,"70,8%","85,7%","64,2%",0%,0,2
Thibaut Courtois,2017/2018 - Chelsea,English Premier League,€,76.7,Real Madrid CF,Belgium,"28,76",GK,35,3150,15,34,"2,2",76,"69,1%","97,1%","55,4%",0%,0,2
Thibaut Courtois,2017/2018 - Chelsea,UEFA Champions League,€,76.7,Real Madrid CF,Belgium,"28,76",GK,8,720,2,12,"2,5",20,"62,5%","83,3%","50,0%",0%,0,1
Thibaut Courtois,2018/2019 - Real Madrid,Spanish La Liga,€,76.7,Real Madrid CF,Belgium,"28,76",GK,27,2430,8,36,"2,6",69,"65,7%","96,7%","52,7%",13%,1,8
Thibaut Courtois,2018/2019 - Real Madrid,UEFA Champions League,€,76.7,Real Madrid CF,Belgium,"28,76",GK,5,450,2,8,"4,0",20,"71,4%","85,7%","66,7%",,,
Thibaut Courtois,2019/2020 - Real Madrid,Spanish La Liga,€,76.7,Real Madrid CF,Belgium,"28,76",GK,34,3060,18,20,"2,2",76,"79,2%","100,0%","72,2%",,,
Thibaut Courtois,2019/2020 - Real Madrid,UEFA Champions League,€,76.7,Real Madrid CF,Belgium,"28,76",GK,7,585,2,11,"3,1",20,"64,5%","75,0%","63,0%",0%,0,1
Thibaut Courtois,2020/2021 - Real Madrid,Spanish La Liga,€,76.7,Real Madrid CF,Belgium,"28,76",GK,11,990,4,12,"2,5",27,"69,2%","91,7%","59,3%",0%,0,5
Thibaut Courtois,2020/2021 - Real Madrid,UEFA Champions League,€,76.7,Real Madrid CF,Belgium,"28,76",GK,6,540,2,9,"1,8",11,"55,0%","100,0%","50,0%",,0,0
Marc-André ter Stegen,2016/2017 - Barcelona,Spanish La Liga,€,75,FC Barcelona,Germany,"28,79",GK,36,3240,13,33,"3,4",122,"78,7%","94,9%","68,4%",,,
Marc-André ter Stegen,2016/2017 - Barcelona,UEFA Champions League,€,75,FC Barcelona,Germany,"28,79",GK,9,810,4,12,"3,0",27,"69,2%","75,0%","66,7%",100%,1,1
Marc-André ter Stegen,2017/2018 - Barcelona,Spanish La Liga,€,75,FC Barcelona,Germany,"28,79",GK,37,3330,19,28,"2,6",98,"77,8%","90,2%","71,8%",0%,0,2
Marc-André ter Stegen,2017/2018 - Barcelona,UEFA Champions League,€,75,FC Barcelona,Germany,"28,79",GK,9,810,5,6,"2,4",22,"78,6%","91,7%","68,8%",0%,0,1
Marc-André ter Stegen,2018/2019 - Barcelona,Spanish La Liga,€,75,FC Barcelona,Germany,"28,79",GK,35,3150,16,32,"2,4",85,"72,6%","93,9%","64,3%",,,1
Marc-André ter Stegen,2018/2019 - Barcelona,UEFA Champions League,€,75,FC Barcelona,Germany,"28,79",GK,11,990,6,9,"2,5",27,"75,0%","92,9%","61,9%",,,
Marc-André ter Stegen,2019/2020 - Barcelona,Spanish La Liga,€,75,FC Barcelona,Germany,"28,79",GK,36,3240,14,36,"2,3",81,"69,2%","87,2%","59,7%",14%,1,7
Marc-André ter Stegen,2019/2020 - Barcelona,UEFA Champions League,€,75,FC Barcelona,Germany,"28,79",GK,8,720,2,13,"3,4",27,"67,5%","75,0%","66,7%",50%,1,2
Marc-André ter Stegen,2020/2021 - Barcelona,Spanish La Liga,€,75,FC Barcelona,Germany,"28,79",GK,4,360,1,5,"3,0",12,"70,6%","83,3%","60,0%",,0,0
Marc-André ter Stegen,2020/2021 - Barcelona,UEFA Champions League,€,75,FC Barcelona,Germany,"28,79",GK,3,270,1,4,"3,3",10,"71,4%",,"71,4%",0%,0,2
Ederson,2016/2017 - Benfica,Portuguese Primeira Liga,€,61.9,Manchester City FC,Brazil,"27,50",GK,27,2381,17,12,"2,1",56,"82,4%","93,3%","73,7%",0%,0,1
Ederson,2016/2017 - Benfica,UEFA Champions League,€,61.9,Manchester City FC,Brazil,"27,50",GK,7,630,3,10,"3,4",24,"70,6%","88,9%","64,0%",67%,2,3
Ederson,2017/2018 - Manchester City,English Premier League,€,61.9,Manchester City FC,Brazil,"27,50",GK,36,3195,16,26,"1,6",58,"69,0%","76,0%","64,9%",100%,2,2
Ederson,2017/2018 - Manchester City,UEFA Champions League,€,61.9,Manchester City FC,Brazil,"27,50",GK,9,810,4,10,"2,6",23,"69,7%","91,7%","57,1%",33%,1,3
Ederson,2018/2019 - Manchester City,English Premier League,€,61.9,Manchester City FC,Brazil,"27,50",GK,38,3420,20,23,"1,5",58,"71,6%","91,3%","63,8%",,,4
Ederson,2018/2019 - Manchester City,UEFA Champions League,€,61.9,Manchester City FC,Brazil,"27,50",GK,10,900,3,12,"2,1",21,"63,6%","75,0%","57,1%",,,3
Ederson,2019/2020 - Manchester City,English Premier League,€,61.9,Manchester City FC,Brazil,"27,50",GK,35,3072,16,28,"2,0",68,"70,8%","72,0%","70,4%",,,3
Ederson,2019/2020 - Manchester City,UEFA Champions League,€,61.9,Manchester City FC,Brazil,"27,50",GK,8,675,2,7,"2,4",18,"72,0%","71,4%","68,8%",0%,0,1
Ederson,2020/2021 - Manchester City,English Premier League,€,61.9,Manchester City FC,Brazil,"27,50",GK,10,900,4,11,"1,7",17,"60,7%","71,4%","57,1%",0%,0,4
Ederson,2020/2021 - Manchester City,UEFA Champions League,€,61.9,Manchester City FC,Brazil,"27,50",GK,5,450,4,1,"1,0",5,"83,3%","100,0%","66,7%",,0,0
André Onana,2016/2017 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,32,2880,15,20,"2,5",79,"79,8%","84,2%","77,0%",50%,1,2
André Onana,2016/2017 - Ajax,UEFA Europa League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,14,1290,6,16,"2,7",38,"70,4%","81,3%","65,8%",0%,0,1
André Onana,2017/2018 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,32,2880,12,31,"3,0",95,"75,4%","88,9%","63,8%",50%,2,4
André Onana,2018/2019 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,33,2921,15,27,"2,5",80,"74,8%","83,9%","70,3%",50%,1,2
André Onana,2018/2019 - Ajax,UEFA Champions League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,12,1080,4,13,"3,3",40,"75,5%","100,0%","71,1%",,,1
André Onana,2019/2020 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,24,2160,8,21,"2,1",51,"70,8%","90,0%","63,5%",,,2
André Onana,2019/2020 - Ajax,UEFA Champions League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,6,540,3,6,"4,3",26,"81,3%","100,0%","70,0%",0%,0,3
André Onana,2019/2020 - Ajax,UEFA Europa League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,1,90,0,1,"0,0",0,"0,0%",,"0,0%",,0,0
André Onana,2020/2021 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,11,990,6,7,"2,5",28,"80,0%","93,8%","68,4%",,0,0
André Onana,2020/2021 - Ajax,UEFA Champions League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,6,540,0,7,"3,7",22,"75,9%","100,0%","61,1%",0%,0,1
Ugurcan Cakir,2016/2017 - Trabzonspor,Turkish Super Lig,€,14.5,Trabzonspor,Turkey,"24,86",GK,0,,,,,,,,,,,
Ugurcan Cakir,2017/2018 - Trabzonspor,Turkish Super Lig,€,14.5,Trabzonspor,Turkey,"24,86",GK,6,495,1,12,"4,0",22,"64,7%","87,5%","57,7%",0%,0,2
Ugurcan Cakir,2018/2019 - Trabzonspor,Turkish Super Lig,€,14.5,Trabzonspor,Turkey,"24,86",GK,20,1800,5,23,"3,5",69,"75,0%","93,3%","66,1%",,,2
Ugurcan Cakir,2019/2020 - Trabzonspor,Turkish Super Lig,€,14.5,Trabzonspor,Turkey,"24,86",GK,33,2891,4,40,"3,5",114,"74,0%","95,5%","65,1%",,,8
Ugurcan Cakir,2019/2020 - Trabzonspor,UEFA Europa League,€,14.5,Trabzonspor,Turkey,"24,86",GK,3,270,0,5,"1,7",5,"50,0%","100,0%","44,4%",,0,0
Ugurcan Cakir,2020/2021 - Trabzonspor,Turkish Super Lig,€,14.5,Trabzonspor,Turkey,"24,86",GK,10,900,3,15,"3,4",34,"69,4%","80,0%","60,7%",33%,1,3
Altay Bayindir,2018/2019 - Ankaragücü,Turkish Super Lig,€,11.7,Fenerbahce SK,Turkey,"22,84",GK,17,1530,5,28,"3,7",63,"69,2%","90,9%","56,9%",17%,1,6
Altay Bayindir,2019/2020 - Fenerbahçe,Turkish Super Lig,€,11.7,Fenerbahce SK,Turkey,"22,84",GK,32,2880,5,44,"2,5",80,"64,5%","86,5%","53,0%",,,6
Altay Bayindir,2020/2021 - Fenerbahçe,Turkish Super Lig,€,11.7,Fenerbahce SK,Turkey,"22,84",GK,11,990,3,13,"2,8",31,"70,5%","100,0%","56,7%",50%,2,4
Esteban Andrada,2016/2017 - Lanús,Argentina Superliga,€,8.8,Boca Juniors,Argentina,"30,05",GK,16,1440,7,16,"2,9",47,"74,6%","90,0%","67,4%",60%,3,5
Esteban Andrada,2017/2018 - Lanús,Argentina Superliga,€,8.8,Boca Juniors,Argentina,"30,05",GK,18,1620,7,20,"2,6",47,"70,1%","95,2%","58,7%",20%,1,5
Esteban Andrada,2018/2019 - Boca Juniors,Argentina Superliga,€,8.8,Boca Juniors,Argentina,"30,05",GK,18,1620,11,9,"3,3",59,"86,8%","97,2%","75,0%",,,1
Esteban Andrada,2019/2020 - Boca Juniors,Argentina Superliga,€,8.8,Boca Juniors,Argentina,"30,05",GK,20,1800,14,7,"3,0",59,"89,4%","96,6%","83,8%",,,
Esteban Andrada,2020/2021 - Boca Juniors,Liga Profesional Argentina,€,8.8,Boca Juniors,Argentina,"30,05",GK,4,360,3,2,"1,0",4,"66,7%","100,0%","33,3%",,0,0
